lake,S1,I,IN1,l,rake
path,S1,I,AM2,p,bath
peach,S1,C,AM2,p,beach
bin,S1,C,IN2,b,pin
bin,S1,I,AM2,b,pin
lamb,S1,C,AM2,l,ram
lock,S1,I,AM2,l,rock
rake,S1,C,AM2,r,lake
path,S1,I,AM2,p,bath
bark,S1,I,AM2,b,park
wrist,S1,I,IN3,r,list
lamb,S1,I,IN3,l,ram
ram,S1,I,IN3,r,lamb
bark,S1,I,AM2,b,park
bump,S1,C,AM2,b,pump
lane,S1,C,AM2,l,rain
ramp,S1,C,AM2,r,lamp
bee,S1,I,IN2,b,pea
rain,S1,I,IN1,r,lane
bee,S1,C,IN3,b,pea
ramp,S1,C,AM2,r,lamp
lane,S1,I,IN3,l,rain
rake,S1,I,IN1,r,lake
pug,S1,I,IN1,p,bug
lip,S1,C,IN2,l,rip
bear,S1,C,IN3,b,pear
lace,S1,I,AM2,l,race
bark,S1,C,IN1,b,park
lock,S1,I,IN1,l,rock
rain,S1,I,AM2,r,lane
lake,S1,C,AM2,l,rake
lamp,S1,I,IN3,l,ramp
path,S1,I,IN2,p,bath
bear,S1,I,AM2,b,pear
bin,S1,I,IN3,b,pin
rain,S1,C,AM2,r,lane
race,S1,C,AM2,r,lace
peach,S1,I,AM2,p,beach
pea,S1,I,AM2,p,bee
ramp,S1,I,AM2,r,lamp
lip,S1,I,IN1,l,rip
bump,S1,C,IN1,b,pump
pear,S1,C,IN2,p,bear
wrist,S1,I,AM2,r,list
lamb,S1,C,IN1,l,ram
lake,S1,C,AM2,l,rake
lane,S1,C,IN1,l,rain
pea,S1,I,IN1,p,bee
peach,S1,I,AM2,p,beach
pug,S1,C,AM2,p,bug
bug,S1,C,IN2,b,pug
lace,S1,I,AM2,l,race
lamb,S1,I,IN2,l,ram
bee,S1,C,IN2,b,pea
rain,S1,C,IN3,r,lane
beach,S1,C,IN3,b,peach
beach,S1,I,AM2,b,peach
rip,S1,I,AM2,r,lip
list,S1,I,AM2,l,wrist
rip,S1,I,IN2,r,lip
lip,S1,C,AM2,l,rip
bee,S1,I,AM2,b,pea
bug,S1,C,IN3,b,pug
lamp,S1,C,AM2,l,ramp
rip,S1,C,AM2,r,lip
pin,S1,C,AM2,p,bin
bath,S1,I,AM2,b,path
pear,S1,C,AM2,p,bear
rake,S1,C,AM2,r,lake
rock,S1,C,IN1,r,lock
bin,S1,C,AM2,b,pin
lock,S1,C,IN3,l,rock
rip,S1,I,AM2,r,lip
bath,S1,I,IN3,b,path
lane,S1,C,IN2,l,rain
ramp,S1,I,IN3,r,lamp
pug,S1,C,AM2,p,bug
pug,S1,I,IN3,p,bug
pear,S1,I,IN1,p,bear
wrist,S1,C,IN1,r,list
pin,S1,I,AM2,p,bin
bee,S1,I,AM2,b,pea
lake,S1,C,IN2,l,rake
park,S1,C,AM2,p,bark
bin,S1,C,AM2,b,pin
bump,S1,C,AM2,b,pump
bear,S1,C,AM2,b,pear
peach,S1,C,AM2,p,beach
list,S1,I,IN1,l,wrist
bark,S1,I,IN2,b,park
path,S1,I,IN3,p,bath
bath,S1,C,AM2,b,path
rake,S1,I,IN2,r,lake
peach,S1,I,IN1,p,beach
race,S1,I,IN3,r,lace
beach,S1,I,IN2,b,peach
pear,S1,C,AM2,p,bear
ram,S1,C,AM2,r,lamb
pug,S1,I,AM2,p,bug
park,S1,I,AM2,p,bark
park,S1,C,IN3,p,bark
pea,S1,I,AM2,p,bee
rip,S1,I,IN1,r,lip
lip,S1,I,AM2,l,rip
bear,S1,I,IN3,b,pear
pear,S1,I,AM2,p,bear
rake,S1,C,IN3,r,lake
peach,S1,I,IN3,p,beach
bee,S1,C,AM2,b,pea
wrist,S1,C,AM2,r,list
pin,S1,C,IN3,p,bin
bath,S1,C,IN2,b,path
bump,S1,I,IN3,b,pump
pump,S1,C,AM2,p,bump
lamp,S1,I,IN2,l,ramp
rain,S1,C,IN2,r,lane
pea,S1,I,IN3,p,bee
bear,S1,C,IN1,b,pear
lip,S1,I,AM2,l,rip
lip,S1,I,IN3,l,rip
rain,S1,I,AM2,r,lane
race,S1,I,AM2,r,lace
race,S1,I,IN1,r,lace
wrist,S1,I,IN2,r,list
path,S1,C,IN3,p,bath
rock,S1,C,AM2,r,lock
rake,S1,C,IN2,r,lake
bark,S1,C,AM2,b,park
path,S1,C,AM2,p,bath
race,S1,C,IN2,r,lace
bark,S1,I,IN3,b,park
bark,S1,C,AM2,b,park
list,S1,I,IN2,l,wrist
list,S1,C,IN3,l,wrist
ramp,S1,C,IN1,r,lamp
bug,S1,I,AM2,b,pug
ramp,S1,I,IN1,r,lamp
ram,S1,C,AM2,r,lamb
race,S1,I,AM2,r,lace
wrist,S1,C,AM2,r,list
beach,S1,I,IN1,b,peach
lock,S1,C,IN2,l,rock
ram,S1,C,IN2,r,lamb
pear,S1,I,AM2,p,bear
pin,S1,I,IN3,p,bin
bath,S1,I,IN1,b,path
list,S1,I,AM2,l,wrist
park,S1,C,AM2,p,bark
bug,S1,I,AM2,b,pug
lip,S1,C,AM2,l,rip
path,S1,C,AM2,p,bath
pear,S1,C,IN3,p,bear
lamp,S1,C,IN1,l,ramp
lace,S1,C,AM2,l,race
rip,S1,C,IN3,r,lip
pear,S1,I,IN2,p,bear
rain,S1,C,AM2,r,lane
bug,S1,C,AM2,b,pug
bark,S1,C,IN3,b,park
pin,S1,C,AM2,p,bin
bath,S1,I,AM2,b,path
bear,S1,I,AM2,b,pear
pin,S1,C,IN1,p,bin
park,S1,I,IN1,p,bark
list,S1,C,AM2,l,wrist
lace,S1,C,AM2,l,race
ram,S1,I,AM2,r,lamb
lock,S1,C,AM2,l,rock
bump,S1,C,IN3,b,pump
pin,S1,I,AM2,p,bin
lock,S1,I,AM2,l,rock
bee,S1,I,IN1,b,pea
lace,S1,I,IN2,l,race
rock,S1,I,AM2,r,lock
pin,S1,I,IN2,p,bin
bump,S1,I,AM2,b,pump
bath,S1,C,IN1,b,path
rake,S1,I,AM2,r,lake
beach,S1,C,AM2,b,peach
lake,S1,I,AM2,l,rake
lane,S1,C,AM2,l,rain
pea,S1,C,IN1,p,bee
list,S1,C,AM2,l,wrist
rock,S1,C,IN3,r,lock
rock,S1,I,AM2,r,lock
lane,S1,I,AM2,l,rain
path,S1,C,IN1,p,bath
lamp,S1,I,AM2,l,ramp
race,S1,C,IN1,r,lace
lamb,S1,C,IN3,l,ram
park,S1,I,IN2,p,bark
lamp,S1,C,IN3,l,ramp
rock,S1,C,AM2,r,lock
lake,S1,I,AM2,l,rake
pump,S1,C,IN2,p,bump
pug,S1,C,IN2,p,bug
pump,S1,C,IN3,p,bump
lamb,S1,C,AM2,l,ram
bath,S1,C,AM2,b,path
rock,S1,I,IN2,r,lock
lane,S1,I,IN1,l,rain
lace,S1,I,IN3,l,race
lace,S1,C,IN3,l,race
bug,S1,I,IN2,b,pug
rock,S1,I,IN3,r,lock
bug,S1,C,AM2,b,pug
lake,S1,I,IN3,l,rake
bin,S1,C,IN1,b,pin
rip,S1,C,AM2,r,lip
wrist,S1,I,AM2,r,list
bear,S1,C,AM2,b,pear
bear,S1,I,IN2,b,pear
pug,S1,I,AM2,p,bug
pug,S1,C,IN1,p,bug
pea,S1,C,AM2,p,bee
pea,S1,C,AM2,p,bee
park,S1,C,IN2,p,bark
pump,S1,I,IN2,p,bump
bump,S1,I,AM2,b,pump
peach,S1,C,IN1,p,beach
bug,S1,I,IN1,b,pug
beach,S1,C,IN2,b,peach
pump,S1,I,IN1,p,bump
bin,S1,I,IN1,b,pin
peach,S1,C,IN2,p,beach
lock,S1,C,AM2,l,rock
ram,S1,C,IN1,r,lamb
pump,S1,I,AM2,p,bump
lamp,S1,I,AM2,l,ramp
lamb,S1,I,AM2,l,ram
ram,S1,I,IN1,r,lamb
pea,S1,C,IN2,p,bee
lake,S1,C,IN1,l,rake
bin,S1,I,AM2,b,pin
lock,S1,I,IN2,l,rock
bump,S1,I,IN2,b,pump
rake,S1,I,AM2,r,lake
pump,S1,I,AM2,p,bump
lamb,S1,I,AM2,l,ram
pump,S1,C,AM2,p,bump
ramp,S1,I,AM2,r,lamp
ram,S1,I,AM2,r,lamb
rain,S1,I,IN2,r,lane
park,S1,I,AM2,p,bark
lip,S1,C,IN1,l,rip
race,S1,C,AM2,r,lace
beach,S1,I,AM2,b,peach
ramp,S1,C,IN2,r,lamp
bee,S1,C,AM2,b,pea
wrist,S1,C,IN3,r,list
beach,S1,C,AM2,b,peach
rip,S1,C,IN2,r,lip
lane,S1,I,AM2,l,rain
lace,S1,C,IN1,l,race
lamp,S1,C,AM2,l,ramp
list,S1,C,IN2,l,wrist